relation,A,B,C,D,3_cot_2_mistral7b,1_basic_prompt_not_forced_3_llama3,4_cot_structured_1_llama3,2_basic_prompt_forced_2_mistral7b,1_basic_prompt_not_forced_2_llama3,1_basic_prompt_not_forced_1_llama3,2_basic_prompt_forced_3_mistral7b,2_basic_prompt_forced_2_llama3,3_cot_2_llama3,3_cot_3_mistral7b,4_cot_structured_1_mistral7b,1_basic_prompt_not_forced_3_mistral7b,4_cot_structured_3_mistral7b,3_cot_1_llama3,2_basic_prompt_forced_3_llama3,3_cot_3_llama3,1_basic_prompt_not_forced_1_mistral7b,2_basic_prompt_forced_1_llama3,4_cot_structured_3_llama3,1_basic_prompt_not_forced_2_mistral7b,3_cot_1_mistral7b,4_cot_structured_2_llama3,4_cot_structured_2_mistral7b,2_basic_prompt_forced_1_mistral7b
Synonym,easy,simple,sad,unhappy,D,D,D,D,,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,hurry,rush,harm,injure,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,rob,steal,cry,weep,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,polite,courteous,angry,furious,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,beginner,novice,doctor,physician,E,D,D,D,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,baby,infant,woman,lady,D,D,D,D,,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,brook,stream,courage,bravery,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,huge,enormous,wealthy,rich,D,D,D,D,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,cheerful,happy,awful,horrible,D,D,D,D,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,remain,stay,begin,start,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D
Synonym,unusual,strange,famous,renowned,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,E
Synonym,sick,ill,little,small,D,D,D,D,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,legal,lawful,usual,normal,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D
Synonym,collect,gather,leave,abandon,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,E,D,D
Synonym,clean,neat,fortunate,lucky,D,D,D,D,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Synonym,immense,colossal,precise,exact,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,E,D,D,D,D,E,D,D,D
