,relation,A,B,C,D,D',full_prompt,raw_generation,parsed_answer,ambiguous,logit_D,logit_D'
0,Synonym,easy,simple,sad,unhappy,happy,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

easy : simple :: sad : ?

Replace the question mark with the correct analogy:

D: unhappy

or

E: happy

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is: ""A is a more complex version of B, like C is a more complex version of D"".

* easy is a more complex version of simple
* sad is a more complex version of unhappy

So, the correct answer is: <ans> D </ans>",D,False,,
1,Synonym,hurry,rush,harm,injure,help,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

hurry : rush :: harm : ?

Replace the question mark with the correct analogy:

D: injure

or

E: help

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is: ""verb : verb :: verb : verb""

* hurry is to rush as harm is to injure

So, the correct answer is:

<ans> D </ans>",D,False,,
2,Synonym,rob,steal,cry,weep,laugh,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

rob : steal :: cry : ?

Replace the question mark with the correct analogy:

D: weep

or

E: laugh

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's why:

* ""rob"" is to ""steal"" as ""cry"" is to ""weep""
* Both ""rob"" and ""cry"" are actions that are associated with a specific outcome: ""steal"" and ""weep"", respectively.

So, the correct analogy is: rob : steal :: cry : weep",D,False,,
3,Synonym,polite,courteous,angry,furious,happy,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

polite : courteous :: angry : ?

Replace the question mark with the correct analogy:

D: furious

or

E: happy

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is: ""A is a synonym of B"" :: ""C is a synonym of D""

In this case, ""polite"" is a synonym of ""courteous"", so we need to find a synonym of ""angry"" that matches ""furious"".

The answer is: <ans> D </ans>",D,False,,
4,Synonym,beginner,novice,doctor,physician,heal,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

beginner : novice :: doctor : ?

Replace the question mark with the correct analogy:

D: physician

or

E: heal

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's why:

* ""beginner"" is to ""novice"" as ""doctor"" is to ""physician""
* Both ""beginner"" and ""novice"" are related to a field or activity, and both ""doctor"" and ""physician"" are related to medicine.
* A ""beginner"" is a novice in a particular field, and a ""doctor"" is a physician in the field of medicine.

So, the correct analogy is: ""beginner : novice :: doctor : physician""",D,False,,
5,Synonym,baby,infant,woman,lady,girl,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

baby : infant :: woman : ?

Replace the question mark with the correct analogy:

D: lady

or

E: girl

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is: <ans> D </ans>

Here's why:

* ""baby"" is to ""infant"" as ""woman"" is to ""lady""
* Both ""baby"" and ""woman"" are adult forms, while ""infant"" and ""lady"" are more general terms that encompass those adult forms.

So, the correct analogy is: baby (adult form) : infant (more general term) :: woman (adult form) : lady (more general term)",D,False,,
6,Synonym,brook,stream,courage,bravery,cowardice,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

brook : stream :: courage : ?

Replace the question mark with the correct analogy:

D: bravery

or

E: cowardice

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is: ""A is a type of B"" :: ""C is a type of D""

In this case, ""brook"" is a type of ""stream"", so ""courage"" is a type of ""bravery"".

Therefore, the correct answer is: <ans> D </ans>",D,False,,
7,Synonym,huge,enormous,wealthy,rich,poor,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

huge : enormous :: wealthy : ?

Replace the question mark with the correct analogy:

D: rich

or

E: poor

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's why:

* huge is to enormous as wealthy is to?
* huge is a smaller version of enormous, so wealthy is a smaller version of?
* rich is a smaller version of wealthy, so the correct answer is D: rich.",D,False,,
8,Synonym,cheerful,happy,awful,horrible,wonderful,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

cheerful : happy :: awful : ?

Replace the question mark with the correct analogy:

D: horrible

or

E: wonderful

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is: ""A is a positive adjective for B, and C is a negative adjective for D"".

* Cheerful is a positive adjective for Happy.
* Awful is a negative adjective for Horrible.

So, the correct answer is:

<ans> D </ans>",D,False,,
9,Synonym,remain,stay,begin,start,continue,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

remain : stay :: begin : ?

Replace the question mark with the correct analogy:

D: start

or

E: continue

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's why:

* ""remain"" and ""stay"" are related in the sense that ""to remain"" means ""to stay"" or ""to continue to be in a place or state"".
* Similarly, ""begin"" and ""start"" are related in the sense that ""to begin"" means ""to start"" or ""to initiate an action or process"".
* Therefore, the analogy suggests that ""begin"" is to ""start"" like ""remain"" is to ""stay"", which means the correct answer is ""start"".",D,False,,
10,Synonym,unusual,strange,famous,renowned,unknown,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

unusual : strange :: famous : ?

Replace the question mark with the correct analogy:

D: renowned

or

E: unknown

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's why:

* Unusual is to strange as famous is to renowned
* Both pairs have a similar relationship: unusual is a type of strange, and famous is a type of renowned.

So, the correct answer is D: renowned.",D,False,,
11,Synonym,sick,ill,little,small,big,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

sick : ill :: little : ?

Replace the question mark with the correct analogy:

D: small

or

E: big

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's why:

* ""sick"" is to ""ill"" as ""little"" is to... ""small""

In both cases, the word on the left is an adjective modifying a noun, and the word on the right is a noun that is related to the adjective.",D,False,,
12,Synonym,legal,lawful,usual,normal,strange,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

legal : lawful :: usual : ?

Replace the question mark with the correct analogy:

D: normal

or

E: strange

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's why:

* ""Legal"" and ""lawful"" are synonyms, both meaning ""in accordance with the law"".
* ""Usual"" and ""normal"" are also synonyms, both meaning ""typical"" or ""standard"".
* Therefore, the analogy is: ""A (legal) is to B (lawful) like C (usual) is to D (normal)"".

So, the correct answer is D: normal.",D,False,,
13,Synonym,collect,gather,leave,abandon,stay,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

collect : gather :: leave : ?

Replace the question mark with the correct analogy:

D: abandon

or

E: stay

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is:

<ans> D </ans>

Here's the explanation:

* ""Collect"" and ""gather"" are both actions that involve bringing things together.
* ""Leave"" and ""abandon"" are both actions that involve departing or giving up something.
* Therefore, the correct analogy is: ""collect : gather :: leave : abandon""

So, the answer is D: abandon.",D,False,,
14,Synonym,clean,neat,fortunate,lucky,miserable,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

clean : neat :: fortunate : ?

Replace the question mark with the correct analogy:

D: lucky

or

E: miserable

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is: ""A is a quality of B"" :: ""C is a quality of D""

In this case:

* ""clean"" is a quality of ""neat""
* ""fortunate"" is a quality of ""lucky""

So, the correct answer is:

<ans> D </ans>",D,False,,
15,Synonym,immense,colossal,precise,exact,approximate,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

immense : colossal :: precise : ?

Replace the question mark with the correct analogy:

D: exact

or

E: approximate

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is that the first word is an adjective that means ""very large"", and the second word is an adjective that means ""very small"" or ""extremely accurate"".

* ""immense"" is a very large size, and ""colossal"" is also a very large size.
* ""precise"" is an extremely accurate or exact measurement.

So, the correct analogy is:

precise : exact ::

Therefore, the answer is:

<ans> D </ans>",D,False,,
16,Synonym,stone,rock,garbage,trash,bag,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

stone : rock :: garbage : ?

Replace the question mark with the correct analogy:

D: trash

or

E: bag

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The correct answer is: <ans> D </ans>

Here's why:

* ""stone"" is a type of ""rock""
* ""garbage"" is a type of ""trash""
* Therefore, ""garbage"" is to ""trash"" like ""stone"" is to ""rock""

So, the correct analogy is: stone : rock :: garbage : trash",D,False,,
17,Synonym,help,aid,raise,lift,lower,"The notation ""A : B :: C : D"" should be read as ""A is to B like C is to D"".

In the following example:

help : aid :: raise : ?

Replace the question mark with the correct analogy:

D: lift

or

E: lower

Provide final answer in tags: <ans> D </ans> or <ans> E </ans>","A classic analogy!

The pattern is: ""verb : verb's opposite :: verb : verb's opposite""

So, ""help"" is to ""aid"" (a verb and its opposite) like ""raise"" is to... ""lower"".

Therefore, the correct answer is:

<ans> E </ans>",E,False,,
