relation,A,B,C,D,D',raw_generation,new_generation,parsed_answer
Synonym,easy,simple,sad,unhappy,happy,"<ans> D </ans>

So the complete analogy should read: ""easy is to simple as sad is to unhappy.""</s>",,D
Synonym,hurry,rush,harm,injure,help,"<ans> D </ans>

So the complete analogy should read: ""hurry : rush :: harm : injure""</s>",,D
Synonym,rob,steal,cry,weep,laugh,"<ans> D </ans>

Explanation: In the given analogy, ""rob : steal"" is analogous to ""cry : ?"". Rob steals and cry is a form of weeping. Therefore, the missing term should be ""weep"".</s>",,D
Synonym,polite,courteous,angry,furious,happy,"<ans> D </ans>

So the complete analogy should read: ""polite : courteous :: angry : furious"".</s>",,D
Synonym,beginner,novice,doctor,physician,heal,"<ans> D </ans>

Explanation: In the given analogy, ""novice"" is related to ""beginner"" in the same way as ""doctor"" is related to something. The missing part should be a role or a characteristic that is associated with ""doctor"". The word ""physician"" is a common term used to refer to a doctor, so it fits the blank in the analogy.

Therefore, the correct answer is ""doctor is to physician"" or ""beginner is to novice :: doctor : physician"".

The word ""heal"" does not fit the analogy as it is not a role or a characteristic associated with a doctor.</s>",,D
Synonym,baby,infant,woman,lady,girl,"<ans> D </ans>

Explanation:

The analogy ""baby : infant :: woman : ?"" should be read as ""A (baby) is to B (infant) like C (woman) is to D (?)"".

Since ""woman"" is the adult version of ""female"" or ""lady"", the correct answer is ""D: lady"".</s>",,D
Synonym,brook,stream,courage,bravery,cowardice,"<ans> D </ans>

So the complete analogy is: ""brook : stream :: courage : bravery"". This means that just as a brook is a type of stream, courage is a type of bravery.</s>",,D
Synonym,huge,enormous,wealthy,rich,poor,"<ans> D </ans>

Explanation:

The analogy ""huge : enormous :: wealthy : ?"" should be read as ""huge is to enormous as wealthy is to rich"" or ""huge is to enormous like wealthy is to having a large amount of money"". Therefore, the answer is D: rich.</s>",,D
Synonym,cheerful,happy,awful,horrible,wonderful,"<ans> D </ans>

So the completed analogy should read: ""cheerful : happy :: awful : horrible""</s>",,D
Synonym,remain,stay,begin,start,continue,"<ans> D </ans>

Explanation:

The analogy ""remain : stay :: begin : ? "" is read as ""remain is to stay, just as begin is to ?"". The missing term should complete the analogy such that the relationship between the first terms (remain and stay) is the same as the relationship between the second terms (begin and the missing term).

The correct answer is ""D: start"". The relationship between ""remain"" and ""stay"" is one of synonymy or near-synonymy, meaning they are very similar in meaning. Similarly, the relationship between ""begin"" and ""start"" is also one of synonymy or near-synonymy. Therefore, the missing term should be a synonym or near-synonym for ""stay"", which is ""start"" in this case.</s>",,D
Synonym,unusual,strange,famous,renowned,unknown,"<ans> E:</ans> In the given analogy, ""unusual : strange"" and ""famous : ?"" are compared as two pairs of related concepts. The first pair, ""unusual : strange,"" suggests that unusual things are a kind of strange things. The second pair, ""famous : ?"" should complete the analogy in a similar way, suggesting that famous things are a kind of well-known things. Therefore, the answer is ""unknown"" to complete the analogy. So, the correct completion is ""E: unknown"".</s>",,E
Synonym,sick,ill,little,small,big,"<ans> D </ans>

Explanation:

The analogy ""sick : ill :: little : ?"" is saying that ""sick is to ill"" is the same relationship as ""little is to ?"". The relationship between ""sick"" and ""ill"" is one of synonym or near synonym, meaning that they mean almost the same thing. The relationship between ""little"" and ""D"" should also be one of synonym or near synonym. The word ""small"" is a synonym for ""little"", so the correct completion is ""small"" or ""D"". Therefore, the answer is <ans> D </ans>.

The word ""big"" is not a synonym for ""little"", so it is not the correct completion.</s>",<ans> D </ans></s>,D
Synonym,legal,lawful,usual,normal,strange,"<ans> D </ans>

Explanation:

The analogy ""legal : lawful :: usual : ?"" should be read as ""Legal is to lawful as usual is to normal (or not strange)"". Therefore, the answer is ""normal"". So, the correct completion of the analogy is ""usual : normal"".</s>",,D
Synonym,collect,gather,leave,abandon,stay,"<ans> D </ans>

The correct completion for the analogy is: collect : gather :: leave : abandon.</s>",,D
Synonym,clean,neat,fortunate,lucky,miserable,"<ans> D </ans>

So the complete analogy should read: ""clean is to neat as fortunate is to lucky.""</s>",,D
Synonym,immense,colossal,precise,exact,approximate,"<ans> D </ans>

Therefore, the completed analogy should read: ""immense is to colossal like precise is to exact.""</s>",,D
Synonym,stone,rock,garbage,trash,bag,"<ans> D </ans>

Explanation: In the given analogy, ""stone : rock"" is a well-known analogy where ""stone"" is the substance and ""rock"" is the aggregate form of that substance. Similarly, ""garbage"" is an aggregate form of ""trash,"" which is the correct completion of the analogy.</s>",,D
Synonym,help,aid,raise,lift,lower,"<ans> D </ans>

Explanation: In the given analogy, ""help : aid"" means that help is a kind of aid, and ""raise : ?"" means that raise is a kind of?. The correct completion for the question mark is ""lift"", because in the same way that aid is to help, lift is to raise. Therefore, the completed analogy is ""help : aid :: raise : lift"".</s>",,D
